,AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType,Hours
37237,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190702_002000.WAV,GRABADOR-SDZG-AM-24,20190702_002000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,02.07.2019 00:20,60.00046875,Recorded at 00:20:00 02/07/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F075C79FAFC,2019:12:09 05:57:07-08:00,WAV,WAV,audio/x-wav,0
36811,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190629_012000.WAV,GRABADOR-SDZG-AM-24,20190629_012000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,29.06.2019 01:20,60.00046875,Recorded at 01:20:00 29/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F075C79FAFC,2019:12:09 05:20:23-08:00,WAV,WAV,audio/x-wav,1
36527,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190627_020000.WAV,GRABADOR-SDZG-AM-24,20190627_020000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,27.06.2019 02:00,60.00046875,Recorded at 02:00:00 27/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F075C79FAFC,2019:12:09 04:55:54-08:00,WAV,WAV,audio/x-wav,2
36105,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190624_034000.WAV,GRABADOR-SDZG-AM-24,20190624_034000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,24.06.2019 03:40,60.00046875,Recorded at 03:40:00 24/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.2V.,AudioMoth 243B1F075C79FAFC,2019:12:09 04:19:32-08:00,WAV,WAV,audio/x-wav,3
36108,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190624_041000.WAV,GRABADOR-SDZG-AM-24,20190624_041000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,24.06.2019 04:10,60.00046875,Recorded at 04:10:00 24/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.2V.,AudioMoth 243B1F075C79FAFC,2019:12:09 04:19:47-08:00,WAV,WAV,audio/x-wav,4
37555,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190704_052000.WAV,GRABADOR-SDZG-AM-24,20190704_052000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,04.07.2019 05:20,60.00046875,Recorded at 05:20:00 04/07/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 3.9V.,AudioMoth 243B1F075C79FAFC,2019:12:09 06:24:34-08:00,WAV,WAV,audio/x-wav,5
38281,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190709_062000.WAV,GRABADOR-SDZG-AM-24,20190709_062000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,09.07.2019 06:20,60.00046875,Recorded at 06:20:00 09/07/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 3.6V.,AudioMoth 243B1F075C79FAFC,2019:12:09 07:27:13-08:00,WAV,WAV,audio/x-wav,6
36848,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190629_073000.WAV,GRABADOR-SDZG-AM-24,20190629_073000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,29.06.2019 07:30,60.00046875,Recorded at 07:30:00 29/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F075C79FAFC,2019:12:09 05:23:35-08:00,WAV,WAV,audio/x-wav,7
38296,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190709_085000.WAV,GRABADOR-SDZG-AM-24,20190709_085000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,09.07.2019 08:50,60.00046875,Recorded at 08:50:00 09/07/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 3.6V.,AudioMoth 243B1F075C79FAFC,2019:12:09 07:28:30-08:00,WAV,WAV,audio/x-wav,8
37579,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190704_092000.WAV,GRABADOR-SDZG-AM-24,20190704_092000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,04.07.2019 09:20,60.00046875,Recorded at 09:20:00 04/07/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 3.9V.,AudioMoth 243B1F075C79FAFC,2019:12:09 06:26:38-08:00,WAV,WAV,audio/x-wav,9
38164,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190708_105000.WAV,GRABADOR-SDZG-AM-24,20190708_105000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,08.07.2019 10:50,60.00046875,Recorded at 10:50:00 08/07/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 3.6V.,AudioMoth 243B1F075C79FAFC,2019:12:09 07:17:07-08:00,WAV,WAV,audio/x-wav,10
38023,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190707_112000.WAV,GRABADOR-SDZG-AM-24,20190707_112000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,07.07.2019 11:20,60.00046875,Recorded at 11:20:00 07/07/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 3.7V.,AudioMoth 243B1F075C79FAFC,2019:12:09 07:04:57-08:00,WAV,WAV,audio/x-wav,11
35579,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190620_120000.WAV,GRABADOR-SDZG-AM-24,20190620_120000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,20.06.2019 12:00,60.00046875,Recorded at 12:00:00 20/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F075C79FAFC,2019:12:09 03:34:14-08:00,WAV,WAV,audio/x-wav,12
36306,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190625_131000.WAV,GRABADOR-SDZG-AM-24,20190625_131000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,25.06.2019 13:10,60.00046875,Recorded at 13:10:00 25/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F075C79FAFC,2019:12:09 04:36:52-08:00,WAV,WAV,audio/x-wav,13
37896,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190706_141000.WAV,GRABADOR-SDZG-AM-24,20190706_141000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,06.07.2019 14:10,60.00046875,Recorded at 14:10:00 06/07/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 3.8V.,AudioMoth 243B1F075C79FAFC,2019:12:09 06:54:00-08:00,WAV,WAV,audio/x-wav,14
36753,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190628_154000.WAV,GRABADOR-SDZG-AM-24,20190628_154000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,28.06.2019 15:40,60.00046875,Recorded at 15:40:00 28/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F075C79FAFC,2019:12:09 05:15:23-08:00,WAV,WAV,audio/x-wav,15
38539,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190711_162000.WAV,GRABADOR-SDZG-AM-24,20190711_162000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11.07.2019 16:20,60.00046875,Recorded at 16:20:00 11/07/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 3.6V.,AudioMoth 243B1F075C79FAFC,2019:12:09 07:49:30-08:00,WAV,WAV,audio/x-wav,16
38057,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190707_170000.WAV,GRABADOR-SDZG-AM-24,20190707_170000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,07.07.2019 17:00,60.00046875,Recorded at 17:00:00 07/07/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 3.7V.,AudioMoth 243B1F075C79FAFC,2019:12:09 07:07:54-08:00,WAV,WAV,audio/x-wav,17
38485,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190710_183000.WAV,GRABADOR-SDZG-AM-24,20190710_183000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10.07.2019 18:30,60.00046875,Recorded at 18:30:00 10/07/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 3.6V.,AudioMoth 243B1F075C79FAFC,2019:12:09 07:44:50-08:00,WAV,WAV,audio/x-wav,18
37638,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190704_191000.WAV,GRABADOR-SDZG-AM-24,20190704_191000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,04.07.2019 19:10,60.00046875,Recorded at 19:10:00 04/07/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 3.9V.,AudioMoth 243B1F075C79FAFC,2019:12:09 06:31:44-08:00,WAV,WAV,audio/x-wav,19
36206,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190624_203000.WAV,GRABADOR-SDZG-AM-24,20190624_203000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,24.06.2019 20:30,60.00046875,Recorded at 20:30:00 24/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.2V.,AudioMoth 243B1F075C79FAFC,2019:12:09 04:28:14-08:00,WAV,WAV,audio/x-wav,20
